a,b,c,d,e,f,g,h,i,j,k,l,m
0,24.6547945205479,1,1,8,2,99,0,672,0,1000,3,0
0,25.2383561643836,1,1,0,2,23,2.15616438356164,731,1506,2035,1,0
0,30.6904109589041,1,2,8,2,99,0,940,1641,1078,2,1
0,43.8246575342466,1,2,8,2,99,0,842,1656,4100,3,0
0,50.3506849315068,1,2,0,2,99,0,764,1428,1400,1,1
0,36.1643835616438,2,1,8,2,99,0,937,1601,12600,2,0
0,59.7013698630137,1,2,8,1,99,0,979,1095,2000,1,0
0,29.0986301369863,2,1,8,2,99,0,881,1730,996,2,1
0,36.5945205479452,2,1,81,99,99,0,813,0,1400,1,1
0,49.2301369863014,1,2,9,11,99,0,890,1280,3000,2,0
0,33.3013698630137,2,2,0,2,99,6.32054794520548,829,0,4500,1,0
0,41.7506849315068,1,2,2,11,27,0,820,1587,12000,3,0
0,29.3972602739726,2,1,0,2,99,0,755,0,950,1,0
0,33.9452054794521,1,2,0,2,99,5.32054794520548,820,0,1000,2,0
0,52.3534246575342,1,2,8,9,99,25.3342465753425,882,0,0,2,1
0,40.9287671232877,1,2,9,1,7,0,1017,1900,3500,2,0
0,35.7178082191781,2,2,8,6,0,0,769,1626,1091,3,1
0,47.9945205479452,1,2,0,2,99,5.90684931506849,770,0,950,2,0
0,25.441095890411,1,1,81,2,99,4.23561643835616,796,1488,1151,2,0
0,24,1,1,0,2,28,1.07123287671233,719,1551,1000,2,1
0,32.5150684931507,2,2,2,11,5,0,949,1760,0,2,0
0,46.6739726027397,1,2,8,2,99,0,826,0,1800,2,0
0,34.8438356164384,1,2,8,2,99,0,940,1809,1220,2,0
0,41.1232876712329,1,1,0,2,99,0,802,1900,1750,2,0
0,26.3342465753425,1,2,8,2,99,3.15616438356164,822,1166,0,2,1
0,39.3424657534247,1,1,8,2,99,11.3232876712329,916,0,1768,1,1
0,28.3123287671233,1,1,8,2,99,0,880,1476,1000,1,1
0,47.7150684931507,1,2,8,2,99,0,888,1680,2500,2,0
0,40.572602739726,2,2,8,2,99,0,779,0,1300,2,0
0,32.4684931506849,1,2,2,2,28,13.0794520547945,884,0,1000,2,0
0,26.7150684931507,1,1,0,2,99,6.40547945205479,796,0,950,3,0
0,26.8767123287671,1,2,8,2,99,0,890,0,1658,3,1
0,26.0191780821918,2,1,8,2,99,0,955,543,1500,2,0
0,24.6821917808219,1,1,0,2,99,0,678,1596,1200,2,1
0,22.7260273972603,1,1,0,2,99,0,541,1715,1000,2,1
0,56.3561643835616,1,1,8,2,99,15.9972602739726,822,0,1000,2,0
0,28.0794520547945,1,1,81,2,99,5.32054794520548,854,1102,1000,1,0
0,26.2657534246575,1,1,8,1,17,0,967,1545,0,2,1
0,19.4712328767123,2,1,0,2,99,3.23287671232877,494,0,950,1,1
0,66.2,2,2,8,9,99,28.3369863013699,969,0,8700,2,1
0,20.8191780821918,2,1,8,2,99,0,550,0,1000,1,0
0,51.1041095890411,1,2,8,2,99,10.3232876712329,828,0,1658,2,1
0,46.5753424657534,2,2,8,1,23,0,1062,1809,4000,2,0
0,37.0438356164384,1,2,0,2,99,0,764,1609,950,2,0
0,34.5397260273973,2,2,8,2,99,0,915,652,4506,2,1
0,54.7917808219178,1,2,8,2,99,0,838,0,1000,2,0
0,28.2493150684931,1,2,81,2,99,0,822,1307,1000,2,0
0,21.5205479452055,1,1,8,2,99,5.32054794520548,543,0,1000,2,1
0,20.0054794520548,1,1,8,2,99,2.23287671232877,522,0,1345,3,1
0,19.027397260274,1,1,0,2,99,2.31780821917808,520,0,950,1,0
0,38.8575342465753,1,2,8,2,99,7.07397260273973,884,0,0,2,1
0,57.0712328767123,1,2,8,9,99,0,968,1680,2832,1,1
0,53.0246575342466,1,2,8,2,99,5.23561643835616,902,1648,0,2,1
0,22.3315068493151,1,1,0,2,99,0,479,0,900,1,0
0,59.0794520547945,1,2,81,2,99,0,896,1222,1000,1,0
0,27.2821917808219,1,2,0,2,99,0,820,1443,1500,2,1
0,51.3506849315068,1,2,8,2,99,0,946,1579,750,2,1
0,26.0684931506849,1,1,0,2,99,2.31780821917808,731,1119,1000,2,0
0,75.7479452054795,1,1,8,9,99,1.31780821917808,901,1656,2038,2,1
0,44.0986301369863,1,2,8,2,99,19.1671232876712,832,0,2640,2,0
0,38.4575342465753,1,2,0,2,99,0,758,1407,3000,1,0
0,28.3369863013699,1,1,8,1,12,7.23561643835616,903,0,3000,2,0
0,25.7287671232877,2,2,0,2,99,4.23561643835616,705,1730,950,1,1
0,58.3561643835616,1,2,8,9,99,42.3452054794521,792,0,1107,1,1
0,28.0821917808219,1,1,9,2,99,0,934,1380,6000,3,0
0,29.6958904109589,2,2,0,6,0,0,757,0,500,2,0
0,20.3917808219178,2,1,8,2,99,2.65205479452055,485,0,1019,2,1
0,46.7397260273973,1,2,8,1,21,19.0821917808219,1023,0,3150,2,0
0,19.5890410958904,2,1,8,2,99,3.98904109589041,550,0,950,3,0
0,32.8,1,1,8,2,99,6.07397260273973,934,0,2000,1,0
0,48.7452054794521,1,2,0,99,99,20.3315068493151,770,0,0,2,1
0,51.2465753424658,2,1,81,9,99,0,783,0,1000,2,0
0,71.1945205479452,1,2,8,9,99,0,912,1745,1058,1,1
0,50.6164383561644,1,2,9,11,5,0,1002,1438,4166.67,2,0
0,52.7698630136986,1,2,8,1,99,0,983,1664,2500,2,0
0,24.8602739726027,1,1,8,8,99,0,1,1809,500,3,0
0,31.0904109589041,1,2,0,2,99,4.32054794520548,820,0,1000,2,0
0,20.772602739726,2,1,0,8,0,0,1,1536,500,2,0
0,20.7315068493151,1,1,8,2,28,0,541,0,1800,2,0
0,56.8109589041096,1,2,8,2,99,9.32328767123288,834,0,1962,1,1
0,51.6849315068493,1,2,8,9,99,0,962,1809,1108,2,1
0,21.9452054794521,2,1,0,8,0,0,1,0,500,1,0
0,56.9342465753425,1,2,8,9,21,0,1072,1506,0,2,1
0,32.9150684931507,1,2,0,99,99,9.23835616438356,764,0,1980,2,0
0,54.986301369863,1,2,0,9,99,0,856,0,5000,2,1
0,59.0246575342466,1,2,8,9,99,0,928,1809,2162,3,1
0,28.3068493150685,1,1,81,2,99,1.31780821917808,793,1150,1500,2,0
0,25.9260273972603,2,1,0,8,0,0,1,1355,500,2,0
0,31.6712328767123,1,2,8,2,99,0,758,0,950,1,1
0,37.4712328767123,1,2,8,2,99,0,884,1609,950,2,0
0,26.2493150684931,1,1,0,2,99,0,740,1355,2500,1,1
0,41.0986301369863,1,2,0,2,99,1.31780821917808,743,1724,1000,1,0
0,45.0630136986301,1,2,6,11,27,21.3315068493151,946,0,21000,2,0
0,22.3890410958904,2,1,8,8,0,0,1,1626,500,1,0
0,22.7506849315069,1,2,8,2,99,1.31780821917808,482,0,2250,1,0
0,30.2054794520548,2,1,8,1,99,0,984,1779,2810,2,1
0,20.9095890410959,1,1,0,2,99,0,541,0,1000,2,0
0,62.4,1,1,8,9,99,0,898,235,1493,2,1
0,34.7232876712329,1,2,8,2,99,0,940,1809,0,2,0
0,45.3698630136986,1,2,0,2,99,0,784,0,7950,3,0
0,32.2931506849315,1,2,0,99,99,0,758,1406,1400,1,1
0,26.772602739726,2,2,0,2,99,0,799,0,0,2,0
0,32.5890410958904,1,2,8,11,27,0,884,1491,0,2,0
0,48.2082191780822,1,2,8,2,99,30.3369863013699,884,0,1500,1,1
0,58.9808219178082,1,2,0,2,99,41.3452054794521,782,0,1000,2,1
0,20.7780821917808,2,1,81,8,0,0,1,1352,500,3,0
0,28.8054794520548,2,2,81,2,99,0,879,0,1000,2,0
0,32.2794520547945,1,2,4,11,27,8.07397260273973,952,0,25761,1,0
0,36.7123287671233,1,2,8,2,99,0,884,1538,1700,2,0
0,35.013698630137,2,2,8,1,99,8.32328767123288,1032,0,0,3,0
0,36.0246575342466,1,2,3,2,99,0,934,1706,0,3,0
0,37.3424657534247,1,2,8,2,99,19.3287671232877,822,0,1654,2,1
0,30.4657534246575,1,2,8,2,99,0,872,1632,2000,3,0
0,54.2575342465753,1,2,8,9,99,0,902,1601,1500,2,0
0,36.8904109589041,1,2,9,1,17,0,1061,1202,0,2,0
0,25.1698630136986,2,1,0,2,99,0,767,1670,1100,2,1
0,43.9205479452055,1,2,0,2,99,0,770,1724,2050,2,0
